ICD-10 113 Cause List,ICD-10 113 Cause List Code,State,State Code,Gender,Gender Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
Septicemia,GR113-010,Alaska,2,Male,M,45-54 years,45-54,31,1026308,3
Septicemia,GR113-010,Alaska,2,Male,M,55-64 years,55-64,42,747104,5.6
Septicemia,GR113-010,Alaska,2,Male,M,65-74 years,65-74,71,337087,21.1
Septicemia,GR113-010,Alaska,2,Male,M,75-84 years,75-84,69,125675,54.9
Septicemia,GR113-010,Alaska,2,Male,M,85+ years,85+,41,29543,138.8
Septicemia,GR113-010,Arizona,4,Female,F,< 1 year,1,44,811378,5.4
Septicemia,GR113-010,Arizona,4,Female,F,1-4 years,4-Jan,19,3218731,0
Septicemia,GR113-010,Arizona,4,Female,F,5-14 years,14-May,15,7984123,0
Septicemia,GR113-010,Arizona,4,Female,F,15-24 years,15-24,28,7909497,0.4
Septicemia,GR113-010,Arizona,4,Female,F,25-34 years,25-34,46,7729821,0.6
Septicemia,GR113-010,Arizona,4,Female,F,35-44 years,35-44,118,7652170,1.5
Septicemia,GR113-010,Arizona,4,Female,F,45-54 years,45-54,282,7490474,3.8
Septicemia,GR113-010,Arizona,4,Female,F,55-64 years,55-64,551,6555065,8.4
Septicemia,GR113-010,Arizona,4,Female,F,65-74 years,65-74,844,4898287,17.2
Septicemia,GR113-010,Arizona,4,Female,F,75-84 years,75-84,1256,2948377,42.6
Septicemia,GR113-010,Arizona,4,Female,F,85+ years,85+,1002,1176118,85.2
Septicemia,GR113-010,Arizona,4,Male,M,< 1 year,1,73,845729,8.6
Septicemia,GR113-010,Arizona,4,Male,M,1-4 years,4-Jan,13,3356124,0
Septicemia,GR113-010,Arizona,4,Male,M,5-14 years,14-May,14,8335845,0
Septicemia,GR113-010,Arizona,4,Male,M,15-24 years,15-24,20,8516772,0.2
Septicemia,GR113-010,Arizona,4,Male,M,25-34 years,25-34,54,8228036,0.7
Septicemia,GR113-010,Arizona,4,Male,M,35-44 years,35-44,172,7818065,2.2
Septicemia,GR113-010,Arizona,4,Male,M,45-54 years,45-54,381,7266650,5.2
Septicemia,GR113-010,Arizona,4,Male,M,55-64 years,55-64,612,5950292,10.3
Septicemia,GR113-010,Arizona,4,Male,M,65-74 years,65-74,969,4396139,22
Septicemia,GR113-010,Arizona,4,Male,M,75-84 years,75-84,1156,2432601,47.5
Septicemia,GR113-010,Arizona,4,Male,M,85+ years,85+,790,687367,114.9
Septicemia,GR113-010,Arkansas,5,Female,F,< 1 year,1,20,352718,5.7
Septicemia,GR113-010,Arkansas,5,Female,F,15-24 years,15-24,19,3698070,0
Septicemia,GR113-010,Arkansas,5,Female,F,25-34 years,25-34,47,3505906,1.3
Septicemia,GR113-010,Arkansas,5,Female,F,35-44 years,35-44,150,3596684,4.2
Septicemia,GR113-010,Arkansas,5,Female,F,45-54 years,45-54,305,3692822,8.3
Septicemia,GR113-010,Arkansas,5,Female,F,55-64 years,55-64,573,3224037,17.8
Septicemia,GR113-010,Arkansas,5,Female,F,65-74 years,65-74,865,2352921,36.8
Septicemia,GR113-010,Arkansas,5,Female,F,75-84 years,75-84,1493,1497496,99.7
Septicemia,GR113-010,Arkansas,5,Female,F,85+ years,85+,1724,656247,262.7
Septicemia,GR113-010,Arkansas,5,Male,M,< 1 year,1,18,370791,0
Septicemia,GR113-010,Arkansas,5,Male,M,1-4 years,4-Jan,11,1479450,0
Septicemia,GR113-010,Arkansas,5,Male,M,5-14 years,14-May,14,3771181,0
Septicemia,GR113-010,Arkansas,5,Male,M,15-24 years,15-24,29,3844753,0.8
Septicemia,GR113-010,Arkansas,5,Male,M,25-34 years,25-34,59,3528965,1.7
Septicemia,GR113-010,Arkansas,5,Male,M,35-44 years,35-44,129,3551680,3.6
Septicemia,GR113-010,Arkansas,5,Male,M,45-54 years,45-54,336,3571724,9.4
Septicemia,GR113-010,Arkansas,5,Male,M,55-64 years,55-64,627,2990964,21
Septicemia,GR113-010,Arkansas,5,Male,M,65-74 years,65-74,937,2045080,45.8
Septicemia,GR113-010,Arkansas,5,Male,M,75-84 years,75-84,1215,1070732,113.5
Septicemia,GR113-010,Arkansas,5,Male,M,85+ years,85+,846,305330,277.1
Septicemia,GR113-010,California,6,Female,F,< 1 year,1,136,4717383,2.9
Septicemia,GR113-010,California,6,Female,F,1-4 years,4-Jan,63,18685637,0.3
Septicemia,GR113-010,California,6,Female,F,5-14 years,14-May,37,47900391,0.1
Septicemia,GR113-010,California,6,Female,F,15-24 years,15-24,47,48870169,0.1
Septicemia,GR113-010,California,6,Female,F,25-34 years,25-34,118,50066081,0.2
Septicemia,GR113-010,California,6,Female,F,35-44 years,35-44,219,50121819,0.4
Septicemia,GR113-010,California,6,Female,F,45-54 years,45-54,692,47600929,1.5
Septicemia,GR113-010,California,6,Female,F,55-64 years,55-64,1298,36577475,3.5
Septicemia,GR113-010,California,6,Female,F,65-74 years,65-74,1851,23577678,7.9
Septicemia,GR113-010,California,6,Female,F,75-84 years,75-84,3100,15262326,20.3
Septicemia,GR113-010,California,6,Female,F,85+ years,85+,3667,7031316,52.2
Septicemia,GR113-010,California,6,Male,M,< 1 year,1,148,4934730,3
Septicemia,GR113-010,California,6,Male,M,1-4 years,4-Jan,51,19551540,0.3
Septicemia,GR113-010,California,6,Male,M,5-14 years,14-May,44,50133402,0.1
Septicemia,GR113-010,California,6,Male,M,15-24 years,15-24,66,52583410,0.1
Septicemia,GR113-010,California,6,Male,M,25-34 years,25-34,129,52646057,0.2
Septicemia,GR113-010,California,6,Male,M,35-44 years,35-44,350,50895350,0.7
Septicemia,GR113-010,California,6,Male,M,45-54 years,45-54,867,46840070,1.9
Septicemia,GR113-010,California,6,Male,M,55-64 years,55-64,1523,34164125,4.5
Septicemia,GR113-010,California,6,Male,M,65-74 years,65-74,2042,20220946,10.1
Septicemia,GR113-010,California,6,Male,M,75-84 years,75-84,2698,11166249,24.2
Septicemia,GR113-010,California,6,Male,M,85+ years,85+,2513,3721634,67.5
Septicemia,GR113-010,Colorado,8,Female,F,< 1 year,1,16,612555,0
Septicemia,GR113-010,Colorado,8,Female,F,1-4 years,4-Jan,11,2438927,0
Septicemia,GR113-010,Colorado,8,Female,F,5-14 years,14-May,14,6152475,0
Septicemia,GR113-010,Colorado,8,Female,F,15-24 years,15-24,12,6212809,0
Septicemia,GR113-010,Colorado,8,Female,F,25-34 years,25-34,26,6641347,0.4
Septicemia,GR113-010,Colorado,8,Female,F,35-44 years,35-44,105,6700485,1.6
Septicemia,GR113-010,Colorado,8,Female,F,45-54 years,45-54,222,6650604,3.3
Septicemia,GR113-010,Colorado,8,Female,F,55-64 years,55-64,391,5167608,7.6
Septicemia,GR113-010,Colorado,8,Female,F,65-74 years,65-74,650,3101249,21
Septicemia,GR113-010,Colorado,8,Female,F,75-84 years,75-84,991,1831091,54.1
Septicemia,GR113-010,Colorado,8,Female,F,85+ years,85+,1087,837981,129.7
Septicemia,GR113-010,Colorado,8,Male,M,< 1 year,1,29,644877,4.5
Septicemia,GR113-010,Colorado,8,Male,M,5-14 years,14-May,10,6450185,0
Septicemia,GR113-010,Colorado,8,Male,M,15-24 years,15-24,13,6772124,0
Septicemia,GR113-010,Colorado,8,Male,M,25-34 years,25-34,40,7167877,0.6
Septicemia,GR113-010,Colorado,8,Male,M,35-44 years,35-44,92,6967997,1.3
Septicemia,GR113-010,Colorado,8,Male,M,45-54 years,45-54,237,6639949,3.6
Septicemia,GR113-010,Colorado,8,Male,M,55-64 years,55-64,456,4994831,9.1
Septicemia,GR113-010,Colorado,8,Male,M,65-74 years,65-74,662,2806946,23.6
Septicemia,GR113-010,Colorado,8,Male,M,75-84 years,75-84,927,1363316,68
Septicemia,GR113-010,Colorado,8,Male,M,85+ years,85+,732,411187,178
Septicemia,GR113-010,Connecticut,9,Female,F,< 1 year,1,16,364620,0
Septicemia,GR113-010,Connecticut,9,Female,F,5-14 years,14-May,10,4305172,0
Septicemia,GR113-010,Connecticut,9,Female,F,15-24 years,15-24,16,4274490,0
Septicemia,GR113-010,Connecticut,9,Female,F,25-34 years,25-34,27,4085859,0.7
Septicemia,GR113-010,Connecticut,9,Female,F,35-44 years,35-44,96,4931287,1.9
Septicemia,GR113-010,Connecticut,9,Female,F,45-54 years,45-54,242,5217065,4.6
Septicemia,GR113-010,Connecticut,9,Female,F,55-64 years,55-64,477,4086941,11.7
Septicemia,GR113-010,Connecticut,9,Female,F,65-74 years,65-74,868,2659672,32.6
Septicemia,GR113-010,Connecticut,9,Female,F,75-84 years,75-84,1716,1919308,89.4
Septicemia,GR113-010,Connecticut,9,Female,F,85+ years,85+,2519,1040635,242.1
Septicemia,GR113-010,Connecticut,9,Male,M,< 1 year,1,19,382987,0
Septicemia,GR113-010,Connecticut,9,Male,M,5-14 years,14-May,15,4508049,0
Septicemia,GR113-010,Connecticut,9,Male,M,15-24 years,15-24,13,4521245,0
Septicemia,GR113-010,Connecticut,9,Male,M,25-34 years,25-34,23,4071707,0.6
Septicemia,GR113-010,Connecticut,9,Male,M,35-44 years,35-44,102,4716997,2.2
Septicemia,GR113-010,Connecticut,9,Male,M,45-54 years,45-54,298,4960608,6
Septicemia,GR113-010,Connecticut,9,Male,M,55-64 years,55-64,519,3795436,13.7
Septicemia,GR113-010,Connecticut,9,Male,M,65-74 years,65-74,904,2252997,40.1
Septicemia,GR113-010,Connecticut,9,Male,M,75-84 years,75-84,1527,1315813,116
Septicemia,GR113-010,Connecticut,9,Male,M,85+ years,85+,1496,471888,317
Septicemia,GR113-010,Delaware,10,Female,F,35-44 years,35-44,32,1160023,2.8
Septicemia,GR113-010,Delaware,10,Female,F,45-54 years,45-54,91,1210388,7.5
Septicemia,GR113-010,Delaware,10,Female,F,55-64 years,55-64,164,1033622,15.9
Septicemia,GR113-010,Delaware,10,Female,F,65-74 years,65-74,252,738694,34.1
Septicemia,GR113-010,Delaware,10,Female,F,75-84 years,75-84,390,444924,87.7
Septicemia,GR113-010,Delaware,10,Female,F,85+ years,85+,377,188043,200.5
Septicemia,GR113-010,Delaware,10,Male,M,< 1 year,1,16,106631,0
Septicemia,GR113-010,Delaware,10,Male,M,35-44 years,35-44,35,1106228,3.2
Septicemia,GR113-010,Delaware,10,Male,M,45-54 years,45-54,76,1126820,6.7
Septicemia,GR113-010,Delaware,10,Male,M,55-64 years,55-64,156,920243,17
Septicemia,GR113-010,Delaware,10,Male,M,65-74 years,65-74,244,638259,38.2
Septicemia,GR113-010,Delaware,10,Male,M,75-84 years,75-84,320,330758,96.7
Septicemia,GR113-010,Delaware,10,Male,M,85+ years,85+,244,90369,270
Septicemia,GR113-010,District of Columbia,11,Female,F,< 1 year,1,11,74198,0
Septicemia,GR113-010,District of Columbia,11,Female,F,35-44 years,35-44,22,824057,2.7
Septicemia,GR113-010,District of Columbia,11,Female,F,45-54 years,45-54,72,736812,9.8
Septicemia,GR113-010,District of Columbia,11,Female,F,55-64 years,55-64,103,627634,16.4
Septicemia,GR113-010,District of Columbia,11,Female,F,65-74 years,65-74,205,405475,50.6
Septicemia,GR113-010,District of Columbia,11,Female,F,75-84 years,75-84,294,271086,108.5
Septicemia,GR113-010,District of Columbia,11,Female,F,85+ years,85+,337,133635,252.2
Septicemia,GR113-010,District of Columbia,11,Male,M,< 1 year,1,10,76648,0
Septicemia,GR113-010,District of Columbia,11,Male,M,35-44 years,35-44,24,831446,2.9
Septicemia,GR113-010,District of Columbia,11,Male,M,45-54 years,45-54,58,703173,8.2
Septicemia,GR113-010,District of Columbia,11,Male,M,55-64 years,55-64,135,536422,25.2
Septicemia,GR113-010,District of Columbia,11,Male,M,65-74 years,65-74,162,312411,51.9
Septicemia,GR113-010,District of Columbia,11,Male,M,75-84 years,75-84,231,164226,140.7
Septicemia,GR113-010,District of Columbia,11,Male,M,85+ years,85+,181,56170,322.2
Septicemia,GR113-010,Florida,12,Female,F,< 1 year,1,171,1973486,8.7
Septicemia,GR113-010,Florida,12,Female,F,1-4 years,4-Jan,29,7827553,0.4
Septicemia,GR113-010,Florida,12,Female,F,5-14 years,14-May,44,20406137,0.2
Septicemia,GR113-010,Florida,12,Female,F,15-24 years,15-24,64,21572745,0.3
Septicemia,GR113-010,Florida,12,Female,F,25-34 years,25-34,163,21721694,0.8
Septicemia,GR113-010,Florida,12,Female,F,35-44 years,35-44,409,23776765,1.7
Septicemia,GR113-010,Florida,12,Female,F,45-54 years,45-54,1023,24707229,4.1
Septicemia,GR113-010,Florida,12,Female,F,55-64 years,55-64,1883,21902325,8.6
Septicemia,GR113-010,Florida,12,Female,F,65-74 years,65-74,3274,17664336,18.5
Septicemia,GR113-010,Florida,12,Female,F,75-84 years,75-84,5776,11899618,48.5
Septicemia,GR113-010,Florida,12,Female,F,85+ years,85+,6381,5114025,124.8
Septicemia,GR113-010,Florida,12,Male,M,< 1 year,1,189,2060399,9.2
Septicemia,GR113-010,Florida,12,Male,M,1-4 years,4-Jan,29,8186098,0.4
Septicemia,GR113-010,Florida,12,Male,M,5-14 years,14-May,36,21356305,0.2
Septicemia,GR113-010,Florida,12,Male,M,15-24 years,15-24,78,22732520,0.3
Septicemia,GR113-010,Florida,12,Male,M,25-34 years,25-34,180,22084208,0.8
Septicemia,GR113-010,Florida,12,Male,M,35-44 years,35-44,413,23484072,1.8
Septicemia,GR113-010,Florida,12,Male,M,45-54 years,45-54,1221,23577269,5.2
Septicemia,GR113-010,Florida,12,Male,M,55-64 years,55-64,2353,19567060,12
Septicemia,GR113-010,Florida,12,Male,M,65-74 years,65-74,3766,15350947,24.5
Septicemia,GR113-010,Florida,12,Male,M,75-84 years,75-84,5610,9353101,60
Septicemia,GR113-010,Florida,12,Male,M,85+ years,85+,4209,2937153,143.3
Septicemia,GR113-010,Georgia,13,Female,F,< 1 year,1,84,1232007,6.8
Septicemia,GR113-010,Georgia,13,Female,F,1-4 years,4-Jan,24,4896633,0.5
Septicemia,GR113-010,Georgia,13,Female,F,5-14 years,14-May,22,12425326,0.2
Septicemia,GR113-010,Georgia,13,Female,F,15-24 years,15-24,80,12442659,0.6
Septicemia,GR113-010,Georgia,13,Female,F,25-34 years,25-34,162,12795825,1.3
Septicemia,GR113-010,Georgia,13,Female,F,35-44 years,35-44,448,13367434,3.4
Septicemia,GR113-010,Georgia,13,Female,F,45-54 years,45-54,1039,12626411,8.2
Septicemia,GR113-010,Georgia,13,Female,F,55-64 years,55-64,1927,9706711,19.9
Septicemia,GR113-010,Georgia,13,Female,F,65-74 years,65-74,2897,6155528,47.1
Septicemia,GR113-010,Georgia,13,Female,F,75-84 years,75-84,4018,3547890,113.3
Septicemia,GR113-010,Georgia,13,Female,F,85+ years,85+,4142,1479424,280
Septicemia,GR113-010,Georgia,13,Male,M,< 1 year,1,109,1286464,8.5
Septicemia,GR113-010,Georgia,13,Male,M,1-4 years,4-Jan,33,5098449,0.6
Septicemia,GR113-010,Georgia,13,Male,M,5-14 years,14-May,29,12944306,0.2
Septicemia,GR113-010,Georgia,13,Male,M,15-24 years,15-24,77,13084537,0.6
Septicemia,GR113-010,Georgia,13,Male,M,25-34 years,25-34,174,12651072,1.4
Septicemia,GR113-010,Georgia,13,Male,M,35-44 years,35-44,392,12901556,3
Septicemia,GR113-010,Georgia,13,Male,M,45-54 years,45-54,1148,11968959,9.6
Septicemia,GR113-010,Georgia,13,Male,M,55-64 years,55-64,2100,8806466,23.8
Septicemia,GR113-010,Georgia,13,Male,M,65-74 years,65-74,2840,5157882,55.1
Septicemia,GR113-010,Georgia,13,Male,M,75-84 years,75-84,3157,2348499,134.4
Septicemia,GR113-010,Georgia,13,Male,M,85+ years,85+,1900,610059,311.4
Septicemia,GR113-010,Hawaii,15,Female,F,< 1 year,1,13,164761,0
Septicemia,GR113-010,Hawaii,15,Female,F,25-34 years,25-34,10,1691105,0
Septicemia,GR113-010,Hawaii,15,Female,F,35-44 years,35-44,35,1694486,2.1
Septicemia,GR113-010,Hawaii,15,Female,F,45-54 years,45-54,84,1743554,4.8
Septicemia,GR113-010,Hawaii,15,Female,F,55-64 years,55-64,145,1491632,9.7
Septicemia,GR113-010,Hawaii,15,Female,F,65-74 years,65-74,221,1027977,21.5
Septicemia,GR113-010,Hawaii,15,Female,F,75-84 years,75-84,330,690791,47.8
Septicemia,GR113-010,Hawaii,15,Female,F,85+ years,85+,401,331433,121
Septicemia,GR113-010,Hawaii,15,Male,M,< 1 year,1,17,173162,0
Septicemia,GR113-010,Hawaii,15,Male,M,25-34 years,25-34,17,1840771,0
Septicemia,GR113-010,Hawaii,15,Male,M,35-44 years,35-44,33,1738559,1.9
Septicemia,GR113-010,Hawaii,15,Male,M,45-54 years,45-54,106,1744397,6.1
Septicemia,GR113-010,Hawaii,15,Male,M,55-64 years,55-64,188,1451400,13
Septicemia,GR113-010,Hawaii,15,Male,M,65-74 years,65-74,280,915342,30.6
Septicemia,GR113-010,Hawaii,15,Male,M,75-84 years,75-84,395,518097,76.2
Septicemia,GR113-010,Hawaii,15,Male,M,85+ years,85+,371,198769,186.6
Septicemia,GR113-010,Idaho,16,Female,F,35-44 years,35-44,10,1829783,0
Septicemia,GR113-010,Idaho,16,Female,F,45-54 years,45-54,43,1860914,2.3
Septicemia,GR113-010,Idaho,16,Female,F,55-64 years,55-64,95,1558373,6.1
Septicemia,GR113-010,Idaho,16,Female,F,65-74 years,65-74,145,1039285,14
Septicemia,GR113-010,Idaho,16,Female,F,75-84 years,75-84,207,630854,32.8
Septicemia,GR113-010,Idaho,16,Female,F,85+ years,85+,239,286313,83.5
Septicemia,GR113-010,Idaho,16,Male,M,35-44 years,35-44,18,1870461,0
Septicemia,GR113-010,Idaho,16,Male,M,45-54 years,45-54,60,1852502,3.2
Septicemia,GR113-010,Idaho,16,Male,M,55-64 years,55-64,90,1532936,5.9
Septicemia,GR113-010,Idaho,16,Male,M,65-74 years,65-74,159,992038,16
Septicemia,GR113-010,Idaho,16,Male,M,75-84 years,75-84,186,511340,36.4
Septicemia,GR113-010,Idaho,16,Male,M,85+ years,85+,168,158791,105.8
Septicemia,GR113-010,Illinois,17,Female,F,< 1 year,1,106,1548015,6.8
Septicemia,GR113-010,Illinois,17,Female,F,1-4 years,4-Jan,33,6239118,0.5
Septicemia,GR113-010,Illinois,17,Female,F,5-14 years,14-May,31,16223708,0.2
Septicemia,GR113-010,Illinois,17,Female,F,15-24 years,15-24,46,16453639,0.3
Septicemia,GR113-010,Illinois,17,Female,F,25-34 years,25-34,155,16738770,0.9
Septicemia,GR113-010,Illinois,17,Female,F,35-44 years,35-44,345,17146088,2
Septicemia,GR113-010,Illinois,17,Female,F,45-54 years,45-54,966,17072740,5.7
Septicemia,GR113-010,Illinois,17,Female,F,55-64 years,55-64,2029,13515054,15
Septicemia,GR113-010,Illinois,17,Female,F,65-74 years,65-74,3256,8908751,36.5
Septicemia,GR113-010,Illinois,17,Female,F,75-84 years,75-84,5626,6078492,92.6
Septicemia,GR113-010,Illinois,17,Female,F,85+ years,85+,7094,2978388,238.2
Septicemia,GR113-010,Illinois,17,Male,M,< 1 year,1,126,1615693,7.8
Septicemia,GR113-010,Illinois,17,Male,M,1-4 years,4-Jan,41,6503620,0.6
Septicemia,GR113-010,Illinois,17,Male,M,5-14 years,14-May,26,16947170,0.2
Septicemia,GR113-010,Illinois,17,Male,M,15-24 years,15-24,68,17287939,0.4
Septicemia,GR113-010,Illinois,17,Male,M,25-34 years,25-34,162,16969421,1
Septicemia,GR113-010,Illinois,17,Male,M,35-44 years,35-44,445,17000107,2.6
Septicemia,GR113-010,Illinois,17,Male,M,45-54 years,45-54,1189,16524697,7.2
Septicemia,GR113-010,Illinois,17,Male,M,55-64 years,55-64,2324,12562489,18.5
Septicemia,GR113-010,Illinois,17,Male,M,65-74 years,65-74,3364,7487244,44.9
Septicemia,GR113-010,Illinois,17,Male,M,75-84 years,75-84,4866,4117989,118.2
Septicemia,GR113-010,Illinois,17,Male,M,85+ years,85+,3739,1313917,284.6
Septicemia,GR113-010,Indiana,18,Female,F,< 1 year,1,53,786619,6.7
Septicemia,GR113-010,Indiana,18,Female,F,1-4 years,4-Jan,25,3172176,0.8
Septicemia,GR113-010,Indiana,18,Female,F,5-14 years,14-May,17,8243904,0
Septicemia,GR113-010,Indiana,18,Female,F,15-24 years,15-24,36,8550315,0.4
Septicemia,GR113-010,Indiana,18,Female,F,25-34 years,25-34,77,7839701,1
Septicemia,GR113-010,Indiana,18,Female,F,35-44 years,35-44,188,8326630,2.3
Septicemia,GR113-010,Indiana,18,Female,F,45-54 years,45-54,558,8547976,6.5
Septicemia,GR113-010,Indiana,18,Female,F,55-64 years,55-64,1071,6956581,15.4
Septicemia,GR113-010,Indiana,18,Female,F,65-74 years,65-74,1786,4660292,38.3
Septicemia,GR113-010,Indiana,18,Female,F,75-84 years,75-84,2790,3123475,89.3
Septicemia,GR113-010,Indiana,18,Female,F,85+ years,85+,3073,1451309,211.7
Septicemia,GR113-010,Indiana,18,Male,M,< 1 year,1,67,824796,8.1
Septicemia,GR113-010,Indiana,18,Male,M,1-4 years,4-Jan,25,3323174,0.8
Septicemia,GR113-010,Indiana,18,Male,M,5-14 years,14-May,13,8648601,0
Septicemia,GR113-010,Indiana,18,Male,M,15-24 years,15-24,32,8907455,0.4
Septicemia,GR113-010,Indiana,18,Male,M,25-34 years,25-34,73,7933765,0.9
Septicemia,GR113-010,Indiana,18,Male,M,35-44 years,35-44,177,8317778,2.1
Septicemia,GR113-010,Indiana,18,Male,M,45-54 years,45-54,559,8397924,6.7
Septicemia,GR113-010,Indiana,18,Male,M,55-64 years,55-64,1171,6571056,17.8
Septicemia,GR113-010,Indiana,18,Male,M,65-74 years,65-74,1733,3987228,43.5
Septicemia,GR113-010,Indiana,18,Male,M,75-84 years,75-84,2293,2129814,107.7
Septicemia,GR113-010,Indiana,18,Male,M,85+ years,85+,1624,638638,254.3
Septicemia,GR113-010,Iowa,19,Female,F,< 1 year,1,14,360140,0
Septicemia,GR113-010,Iowa,19,Female,F,25-34 years,25-34,12,3463502,0
Septicemia,GR113-010,Iowa,19,Female,F,35-44 years,35-44,40,3685998,1.1
Septicemia,GR113-010,Iowa,19,Female,F,45-54 years,45-54,111,3954606,2.8
Septicemia,GR113-010,Iowa,19,Female,F,55-64 years,55-64,229,3299651,6.9
Septicemia,GR113-010,Iowa,19,Female,F,65-74 years,65-74,384,2321848,16.5
Septicemia,GR113-010,Iowa,19,Female,F,75-84 years,75-84,740,1743426,42.4
Septicemia,GR113-010,Iowa,19,Female,F,85+ years,85+,979,955691,102.4
Septicemia,GR113-010,Iowa,19,Male,M,< 1 year,1,14,376205,0
Septicemia,GR113-010,Iowa,19,Male,M,15-24 years,15-24,10,4266927,0
Septicemia,GR113-010,Iowa,19,Male,M,25-34 years,25-34,22,3610925,0.6
Septicemia,GR113-010,Iowa,19,Male,M,35-44 years,35-44,45,3745984,1.2
Septicemia,GR113-010,Iowa,19,Male,M,45-54 years,45-54,144,3974994,3.6
Septicemia,GR113-010,Iowa,19,Male,M,55-64 years,55-64,269,3225967,8.3
Septicemia,GR113-010,Iowa,19,Male,M,65-74 years,65-74,432,2046748,21.1
Septicemia,GR113-010,Iowa,19,Male,M,75-84 years,75-84,674,1232295,54.7
Septicemia,GR113-010,Iowa,19,Male,M,85+ years,85+,573,423551,135.3
Septicemia,GR113-010,Kansas,20,Female,F,< 1 year,1,10,365171,0
Septicemia,GR113-010,Kansas,20,Female,F,25-34 years,25-34,27,3382527,0.8
Septicemia,GR113-010,Kansas,20,Female,F,35-44 years,35-44,74,3488401,2.1
Septicemia,GR113-010,Kansas,20,Female,F,45-54 years,45-54,185,3636698,5.1
Septicemia,GR113-010,Kansas,20,Female,F,55-64 years,55-64,351,2933087,12
Septicemia,GR113-010,Kansas,20,Female,F,65-74 years,65-74,541,1970776,27.5
Septicemia,GR113-010,Kansas,20,Female,F,75-84 years,75-84,945,1418327,66.6
Septicemia,GR113-010,Kansas,20,Female,F,85+ years,85+,1256,751412,167.2
Septicemia,GR113-010,Kansas,20,Male,M,< 1 year,1,16,382122,0
Septicemia,GR113-010,Kansas,20,Male,M,1-4 years,4-Jan,12,1521638,0
Septicemia,GR113-010,Kansas,20,Male,M,15-24 years,15-24,13,4074580,0
Septicemia,GR113-010,Kansas,20,Male,M,25-34 years,25-34,20,3530333,0.6
Septicemia,GR113-010,Kansas,20,Male,M,35-44 years,35-44,53,3528849,1.5
Septicemia,GR113-010,Kansas,20,Male,M,45-54 years,45-54,161,3608907,4.5
Septicemia,GR113-010,Kansas,20,Male,M,55-64 years,55-64,386,2829583,13.6
Septicemia,GR113-010,Kansas,20,Male,M,65-74 years,65-74,503,1732291,29
Septicemia,GR113-010,Kansas,20,Male,M,75-84 years,75-84,834,1016304,82.1
Septicemia,GR113-010,Kansas,20,Male,M,85+ years,85+,663,349045,189.9
Septicemia,GR113-010,Kentucky,21,Female,F,< 1 year,1,20,510835,3.9
Septicemia,GR113-010,Kentucky,21,Female,F,1-4 years,4-Jan,10,2035999,0
Septicemia,GR113-010,Kentucky,21,Female,F,5-14 years,14-May,17,5204339,0
Septicemia,GR113-010,Kentucky,21,Female,F,15-24 years,15-24,20,5444297,0.4
